actor,occurrence_count,rank,first_appearance,unique_dates
patriots alliance,1,5890,2019-01,['2019-01']
anti-colonial land defense,1,5891,2018-12,['2018-12']
benedictine sisters of erie,1,5892,2018-12,['2018-12']
sherburne county sanctuary and resistance to injustice,1,5893,2018-12,['2018-12']
georgia alliance for social justice,1,5894,2018-12,['2018-12']
montezuma county chapter of moms demand action,1,5895,2018-12,['2018-12']
wilton quaker meeting and democracy for connecticut,1,5896,2018-12,['2018-12']
students at corvallis high school,1,5897,2018-12,['2018-12']
texas advocates for justice and grassroots leadership,1,5898,2019-02,['2019-02']
local criminal justice activists,1,5899,2020-05,['2020-05']
indy10 black lives matter,1,5900,2020-05,['2020-05']
answer indiana,1,5901,2020-05,['2020-05']
indy showing up for racial justice,1,5902,2020-05,['2020-05']
decarcerate mecklenburg,1,5903,2020-05,['2020-05']
puente human rights movement,1,5904,2020-05,['2020-05']
angela grable,1,5905,2020-04,['2020-04']
battle born republican alliance,1,5906,2020-04,['2020-04']
fight for nevada,1,5907,2020-04,['2020-04']
corrections department employees,1,5908,2020-04,['2020-04']
the san mateo county coalition for immigrant rights,1,5909,2020-04,['2020-04']
belchester voices for justice,1,5910,2020-04,['2020-04']
other organizations,1,5911,2019-08,['2019-08']
equality,1,5912,2020-04,['2020-04']
criminal justice reform activists,1,5913,2020-03,['2020-03']
justice center workers,1,5914,2020-03,['2020-03']
maine youth justice,1,5915,2020-02,['2020-02']
community protestors,1,5916,2020-02,['2020-02']
i have a future youth organization,1,5917,2020-02,['2020-02']
ou students,1,5918,2020-02,['2020-02']
gun owner,1,5919,2020-02,['2020-02']
community republicans,1,5920,2020-02,['2020-02']
the love march,1,5921,2020-02,['2020-02']
gun owners and advocates,1,5922,2020-02,['2020-02']
gun-rights activists,1,5923,2020-02,['2020-02']
river valley voices in action,1,5924,2020-04,['2020-04']
restaurant opportunities center of washington,1,5925,2020-06,['2020-06']
latino economic development center,1,5926,2020-06,['2020-06']
mary's center,1,5927,2020-06,['2020-06']
sanctuary dmv,1,5928,2020-06,['2020-06']
restore justice,1,5929,2020-06,['2020-06']
black lives matter chapter,1,5930,2020-06,['2020-06']
1000 strong,1,5931,2020-06,['2020-06']
the northside coalition of jacksonville,1,5932,2020-06,['2020-06']
new florida majority,1,5933,2020-06,['2020-06']
dignity florida,1,5934,2020-06,['2020-06']
1000 brothers and sisters in arms,1,5935,2020-06,['2020-06']
decarcerate tompkins county,1,5936,2020-06,['2020-06']
the coalition to stop inhumanity at the cuyahoga county jail,1,5937,2020-05,['2020-05']
women involved in reentry efforts,1,5938,2020-06,['2020-06']
black lives matter des moines,1,5939,2020-06,['2020-06']
restaurant opportunity center of washington,1,5940,2020-06,['2020-06']
collective action for safe spaces,1,5941,2020-06,['2020-06']
trans terps dc,1,5942,2020-06,['2020-06']
no justice no pride,1,5943,2020-06,['2020-06']
family and friends of kendrick johnson,1,5944,2020-06,['2020-06']
public defenders for racial justice,1,5945,2020-06,['2020-06']
northeastern university,1,5946,2020-06,['2020-06']
free people strike,1,5947,2020-06,['2020-06']
ftp formation,1,5948,2020-06,['2020-06']
michigan for 2a sanctuary counties-livingston,1,5949,2020-06,['2020-06']
utah against police brutality,1,5950,2020-05,['2020-05']
vote,1,5951,2020-06,['2020-06']
save my people inc.,1,5952,2019-10,['2019-10']
family members of two victims of gun violence,1,5953,2019-10,['2019-10']
senator seward,1,5954,2019-09,['2019-09']
the proud boys,1,5955,2019-09,['2019-09']
dream defenders miami,1,5956,2019-09,['2019-09']
wisconsin coalition for gun safety,1,5957,2019-09,['2019-09']
ohio council of churches,1,5958,2019-09,['2019-09']
ohio professional bail bond association,1,5959,2019-09,['2019-09']
indivisible tampa bay,1,5960,2019-09,['2019-09']
st. petersburg moms demand,1,5961,2019-09,['2019-09']
stop the violence 409,1,5962,2019-09,['2019-09']
west seattle mamas mobilize,1,5963,2019-08,['2019-08']
gun supporters,1,5964,2020-02,['2020-02']
waco immigrants alliance,1,5965,2019-08,['2019-08']
workplace project,1,5966,2019-08,['2019-08']
hempstead tps committee,1,5967,2019-08,['2019-08']
beloved asheville,1,5968,2019-08,['2019-08']
indivisible brookfield,1,5969,2019-08,['2019-08']
and immigrant rights and fight for equality by any means necessary,1,5970,2019-08,['2019-08']
integration,1,5971,2019-08,['2019-08']
bamn-- coalition to defend affirmative action,1,5972,2019-08,['2019-08']
el centro de raza,1,5973,2019-08,['2019-08']
kentucky march for our lives,1,5974,2019-08,['2019-08']
march for our lives northern  virginia,1,5975,2019-08,['2019-08']
march for our lives lower hudson valley,1,5976,2019-08,['2019-08']
casa latina,1,5977,2019-08,['2019-08']
health care union 1199,1,5978,2020-02,['2020-02']
the bullzeye shooting sports range,1,5979,2020-02,['2020-02']
pro-gun women,1,5980,2020-01,['2020-01']
justice 4 inmates,1,5981,2020-01,['2020-01']
the jackson hole tea party,1,5982,2020-01,['2020-01']
the alliance for gun responsibility,1,5983,2020-01,['2020-01']
long island/new york metro area parents and other survivors of murdered victims outreach,1,5984,2020-01,['2020-01']
virginia prison network,1,5985,2020-01,['2020-01']
culpeper county 2a,1,5986,2020-01,['2020-01']
the culpeper republican party,1,5987,2020-01,['2020-01']
washington three percenters,1,5988,2020-01,['2020-01']
local restaurant owner,1,5989,2020-01,['2020-01']
coalition to stop the inhumanity at the cuyahoga county jail,1,5990,2019-10,['2019-10']
march for our lives west,1,5991,2019-12,['2019-12']
a chance 2 change,1,5992,2019-12,['2019-12']
northwest suburbs organizing for action indivisible,1,5993,2019-12,['2019-12']
virginia first foundation,1,5994,2019-12,['2019-12']
coalition against gun violence,1,5995,2019-12,['2019-12']
criminal justice advocates,1,5996,2019-11,['2019-11']
community protetsors,1,5997,2019-11,['2019-11']
mississippi dreams prison family support,1,5998,2019-11,['2019-11']
march for our lives gainesville,1,5999,2019-11,['2019-11']
turning point,1,6000,2019-11,['2019-11']
bayan north east,1,6001,2019-11,['2019-11']
citizens for a safer pima county,1,6002,2019-11,['2019-11']
ohio student association,1,6003,2019-10,['2019-10']
united communities against crime,1,6004,2020-01,['2020-01']
judge wendell griffin,1,6005,2018-04,['2018-04']
rockland county young democrats,1,6006,2018-04,['2018-04']
rockland citizens action network,1,6007,2018-04,['2018-04']
we of action-ny,1,6008,2018-04,['2018-04']
rockland families for social justice discussion group,1,6009,2018-04,['2018-04']
lower hudson valley progressive action network,1,6010,2018-04,['2018-04']
rockland county democratic committee,1,6011,2018-04,['2018-04']
arlington county democratic committe,1,6012,2018-04,['2018-04']
coalition of patriotic americans,1,6013,2018-04,['2018-04']
libertarian party representatives,1,6014,2018-04,['2018-04']
wooster high school students,1,6015,2018-04,['2018-04']
the liberty den,1,6016,2018-04,['2018-04']
stand to save and stand to save chicago,1,6017,2018-08,['2018-08']
3% of idaho,1,6018,2018-04,['2018-04']
citizens for prison reform,1,6019,2018-04,['2018-04']
no new youth jail coalition,1,6020,2018-04,['2018-04']
kamiak high school students,1,6021,2018-03,['2018-03']
students for justice in palestine (sjp),1,6022,2018-03,['2018-03']
the feminist majority leadership alliance,1,6023,2018-03,['2018-03']
stony brook college democrats,1,6024,2018-03,['2018-03']
stony brook young democratic socialists of america (ydsa),1,6025,2018-03,['2018-03']
laramie high march for our live rally and mini-march,1,6026,2018-03,['2018-03']
northwoods progressives,1,6027,2018-03,['2018-03']
wenatchee march for our lives,1,6028,2018-03,['2018-03']
march for our lives - walla walla,1,6029,2018-03,['2018-03']
delaware citizens for the 2nd amendment,1,6030,2018-04,['2018-04']
wa state teens for gun reform,1,6031,2018-04,['2018-04']
rally,1,6032,2018-04,['2018-04']
young feminists coalition,1,6033,2018-04,['2018-04']
beacon day of action,1,6034,2018-04,['2018-04']
fight for our lives santa fe,1,6035,2018-04,['2018-04']
ksc feminist collective,1,6036,2018-04,['2018-04']
17strong,1,6037,2018-04,['2018-04']
fightformissoulalives,1,6038,2018-04,['2018-04']
march for our lives  st. louis,1,6039,2018-04,['2018-04']
students/general protestors,1,6040,2018-04,['2018-04']
northern michigan for gun reform,1,6041,2018-04,['2018-04']
students from multiple schools,1,6042,2018-04,['2018-04']
general,1,6043,2018-04,['2018-04']
oak park middle school students.,1,6044,2018-04,['2018-04']
gun reform blono,1,6045,2018-04,['2018-04']
studesnts,1,6046,2018-04,['2018-04']
united against gun violence,1,6047,2018-04,['2018-04']
windward,1,6048,2018-04,['2018-04']
new roads,1,6049,2018-04,['2018-04']
beverly hills,1,6050,2018-04,['2018-04']
university,1,6051,2018-04,['2018-04']
venice,1,6052,2018-04,['2018-04']
students from santa monica,1,6053,2018-04,['2018-04']
los angeles student activist coalition,1,6054,2018-04,['2018-04']
students from eagle rock high school,1,6055,2018-04,['2018-04']
vote for our lives,1,6056,2018-04,['2018-04']
mastudentsagainst gunviolence,1,6057,2018-04,['2018-04']
sd,1,6058,2018-03,['2018-03']
march for our lives - rapid city,1,6059,2018-03,['2018-03']
family firearms association,1,6060,2018-03,['2018-03']
or-tillamook-march for our lives,1,6061,2018-03,['2018-03']
columbia county oregon march for our lives,1,6062,2018-03,['2018-03']
march for our lives salem oregon,1,6063,2018-03,['2018-03']
or - march for our lives,1,6064,2018-03,['2018-03']
portland,1,6065,2018-03,['2018-03']
pendleton march for our lives - rally/march,1,6066,2018-03,['2018-03']
newport oregon march for our lives,1,6067,2018-03,['2018-03']
medford march for our lives,1,6068,2018-03,['2018-03']
madras march for our lives,1,6069,2018-03,['2018-03']
vashon march for our lives,1,6070,2018-03,['2018-03']
or - eugene - march for our lives,1,6071,2018-03,['2018-03']
march for our lives - corvallis,1,6072,2018-03,['2018-03']
or - coos bay - march for our lives,1,6073,2018-03,['2018-03']
curry county march for our lives,1,6074,2018-03,['2018-03']
central oregon march for our lives,1,6075,2018-03,['2018-03']
indivisible north coast oregon,1,6076,2018-03,['2018-03']
tulsa march for our lives,1,6077,2018-03,['2018-03']
stillwater march for our lives,1,6078,2018-03,['2018-03']
ok,1,6079,2018-03,['2018-03']
march for our lives - oklahoma city,1,6080,2018-03,['2018-03']
march for our lives 5k run/ fun walk,1,6081,2018-03,['2018-03']
licking county revolution,1,6082,2018-03,['2018-03']
march for our lives solidarity march,1,6083,2018-03,['2018-03']
march for our lives tacoma rally and march,1,6084,2018-03,['2018-03']
spokane march for our lives,1,6085,2018-03,['2018-03']
indivisible sequim,1,6086,2018-03,['2018-03']
seattle⊙s march for our lives,1,6087,2018-03,['2018-03']
march for our lives - richland,1,6088,2018-03,['2018-03']
march for our lives olympia,1,6089,2018-03,['2018-03']
march for our lives sister rally in north bend,1,6090,2018-03,['2018-03']
march for our lives- skagit county,1,6091,2018-03,['2018-03']
marysville march for our lives,1,6092,2018-03,['2018-03']
wa - everett - march for our lives,1,6093,2018-03,['2018-03']
march for our lives - auburn,1,6094,2018-03,['2018-03']
the putney huddle,1,6095,2018-03,['2018-03']
vermillion,1,6096,2018-03,['2018-03']
march for our lives - salt lake city,1,6097,2018-03,['2018-03']
utah gun exchange,1,6098,2018-03,['2018-03']
march before our lives,1,6099,2018-03,['2018-03']
st. george march for our lives,1,6100,2018-03,['2018-03']
march for our lives - park city,1,6101,2018-03,['2018-03']
march for our lives - logan,1,6102,2018-03,['2018-03']
cedar city march for our lives,1,6103,2018-03,['2018-03']
wichita falls democrats,1,6104,2018-03,['2018-03']
march for our lives mcallen,1,6105,2018-03,['2018-03']
walker county democrat club,1,6106,2018-03,['2018-03']
lamar social work students association,1,6107,2018-03,['2018-03']
bridges usa,1,6108,2018-03,['2018-03']
sd march for our lives,1,6109,2018-03,['2018-03']
fc young democrats,1,6110,2018-03,['2018-03']
klamath county democrats,1,6111,2018-06,['2018-06']
join organize lead teach (jolt),1,6112,2018-06,['2018-06']
casa de maryland,1,6113,2018-06,['2018-06']
kentucky chapter of the national organization for women (now),1,6114,2018-06,['2018-06']
the latino democrats of allen county,1,6115,2018-06,['2018-06']
urbana-champaign independent media center,1,6116,2018-06,['2018-06']
ct working families,1,6117,2018-06,['2018-06']
rallies for humanity,1,6118,2018-06,['2018-06']
action together connecticut,1,6119,2018-06,['2018-06']
integrated refugee & immigrant services and actionnow connecticut,1,6120,2018-06,['2018-06']
action together ct,1,6121,2018-06,['2018-06']
vigilance jefferson county,1,6122,2018-06,['2018-06']
nonew youth jail,1,6123,2018-04,['2018-04']
arvadans for progressive action,1,6124,2018-06,['2018-06']
san diego organizing project,1,6125,2018-06,['2018-06']
families for families,1,6126,2018-06,['2018-06']
indivisible of blair county,1,6127,2018-06,['2018-06']
occupy ice,1,6128,2018-06,['2018-06']
greater lafayette indivisible and greater lafayette immigrant allies,1,6129,2018-06,['2018-06']
first united universalist church,1,6130,2018-06,['2018-06']
refusefascism.org,1,6131,2018-06,['2018-06']
coweta county democrats,1,6132,2018-06,['2018-06']
indivisible ga-3rd,1,6133,2018-06,['2018-06']
end family separation,1,6134,2018-06,['2018-06']
metro dc democratic socialists,1,6135,2018-06,['2018-06']
laid back lactation,1,6136,2018-06,['2018-06']
wyo say no,1,6137,2018-08,['2018-08']
collier students for change,1,6138,2018-08,['2018-08']
march on the nra,1,6139,2018-08,['2018-08']
march 4 our lives los angeles,1,6140,2018-08,['2018-08']
long island chapter,1,6141,2018-07,['2018-07']
lincoln knolls community watch,1,6142,2018-07,['2018-07']
families first,1,6143,2018-07,['2018-07']
scope of delaware county,1,6144,2018-07,['2018-07']
students for a safer maryland,1,6145,2018-07,['2018-07']
moms demand action and indivisible charlottesville,1,6146,2018-07,['2018-07']
still marching philadelphia,1,6147,2018-07,['2018-07']
the ottawa sportsmen⊙s club and baraga county republican party,1,6148,2018-07,['2018-07']
the robert f. kennedy human rights organization,1,6149,2018-06,['2018-06']
lower shore progressive caucus,1,6150,2018-07,['2018-07']
indivisible amarillo,1,6151,2018-06,['2018-06']
la conexion,1,6152,2018-06,['2018-06']
caribbean unity alliance,1,6153,2018-06,['2018-06']
bridgewater citizens of civility and respect,1,6154,2018-06,['2018-06']
north hawaii action network,1,6155,2018-06,['2018-06']
stratford democratic town committee,1,6156,2018-06,['2018-06']
general  protestors,1,6157,2018-06,['2018-06']
womens march,1,6158,2018-06,['2018-06']
frente de liberación inmigrante,1,6159,2018-06,['2018-06']
indivisible ogden,1,6160,2018-06,['2018-06']
presbyterian church,1,6161,2018-06,['2018-06']
physicians & nurses,1,6162,2018-06,['2018-06']
rev. michael pfleger,1,6163,2018-07,['2018-07']
moms demand action durango,1,6164,2018-06,['2018-06']
helena moms demand action for gun sense in america,1,6165,2018-06,['2018-06']
chicagoland chapter brady campaign to prevent gun violence,1,6166,2018-06,['2018-06']
bags filled with hearts,1,6167,2018-05,['2018-05']
we live indy,1,6168,2018-05,['2018-05']
project amplify,1,6169,2018-05,['2018-05']
salt lake city chapter of march for our lives,1,6170,2018-05,['2018-05']
students demand action nova,1,6171,2018-05,['2018-05']
alliance to end gun violence,1,6172,2018-05,['2018-05']
royal society civil rights organization,1,6173,2018-05,['2018-05']
southernors on new ground,1,6174,2018-05,['2018-05']
andy kim for congress,1,6175,2018-05,['2018-05']
refuse fascism bay area,1,6176,2018-06,['2018-06']
studentsmarch.org,1,6177,2018-05,['2018-05']
peta,1,6178,2018-05,['2018-05']
new york working families party,1,6179,2018-05,['2018-05']
pennsylvania gun owners,1,6180,2018-04,['2018-04']
hearts for inmates,1,6181,2018-04,['2018-04']
mn gun owners caucus,1,6182,2018-04,['2018-04']
ladies of led group therapy,1,6183,2018-04,['2018-04']
north country march against gun violence,1,6184,2018-04,['2018-04']
general protestrors,1,6185,2018-04,['2018-04']
jack young middle school,1,6186,2018-04,['2018-04']
baraboo high school,1,6187,2018-04,['2018-04']
no kids left spokane,1,6188,2018-04,['2018-04']
north texas patriots for liberty,1,6189,2018-05,['2018-05']
resistance sf,1,6190,2018-06,['2018-06']
interfaith movement for immigrant justice,1,6191,2018-06,['2018-06']
republican executive committee,1,6192,2018-06,['2018-06']
good guys with guns,1,6193,2018-06,['2018-06']
progressive organized women,1,6194,2018-06,['2018-06']
springfield teens for action,1,6195,2018-06,['2018-06']
pioneer valley womens march,1,6196,2018-06,['2018-06']
belchertown united church of christ,1,6197,2018-06,['2018-06']
belchertown voices for justice,1,6198,2018-06,['2018-06']
flag day second amendment rally attendees,1,6199,2018-06,['2018-06']
patriots for the children,1,6200,2018-06,['2018-06']
mainers for accountable leadership,1,6201,2018-06,['2018-06']
mom demand action,1,6202,2018-06,['2018-06']
prescott indivisible,1,6203,2018-06,['2018-06']
uu mass action,1,6204,2018-06,['2018-06']
massachusetts safe communities coalition,1,6205,2018-06,['2018-06']
march of our lives,1,6206,2018-06,['2018-06']
maine teen advocacy coalition,1,6207,2018-06,['2018-06']
patriot movement az,1,6208,2018-06,['2018-06']
save our streets crown heights,1,6209,2018-06,['2018-06']
palo alto friends,1,6210,2018-06,['2018-06']
moms demand action's rappahannock-area group,1,6211,2018-06,['2018-06']
students against violence in schools,1,6212,2018-06,['2018-06']
students act for change,1,6213,2018-06,['2018-06']
showing up for racial justice boston,1,6214,2018-06,['2018-06']
moms demand action in manhattan,1,6215,2018-06,['2018-06']
pioneer valley women's march,1,6216,2018-06,['2018-06']
georgia working families party,1,6217,2022-08,['2022-08']
long island loud majority,1,6218,2022-08,['2022-08']
forward justice,1,6219,2022-08,['2022-08']
unlock our vote,1,6220,2022-08,['2022-08']
panhandle patriots rc,1,6221,2022-08,['2022-08']
women against matt gaetz,1,6222,2022-08,['2022-08']
move the needle,1,6223,2022-08,['2022-08']
genocide watch,1,6224,2022-08,['2022-08']
organization of iranian american communities,1,6225,2022-08,['2022-08']
unite 911,1,6226,2022-08,['2022-08']
#freeher,1,6227,2022-08,['2022-08']
children and teens from philadelphia,1,6228,2022-08,['2022-08']
alc,1,6229,2021-11,['2021-11']
people4thepeople,1,6230,2022-08,['2022-08']
racine interfaith coalition,1,6231,2022-08,['2022-08']
acts 2 fellowship,1,6232,2022-08,['2022-08']
staten island liberian community association,1,6233,2022-08,['2022-08']
the african community alliance of staten island,1,6234,2022-08,['2022-08']
riverton peace mission,1,6235,2022-08,['2022-08']
black leaders organizing communities,1,6236,2022-08,['2022-08']
minnesota dfl,1,6237,2022-08,['2022-08']
i believe in me,1,6238,2022-08,['2022-08']
sikh american legal defense and education fund,1,6239,2022-08,['2022-08']
liberal leftist protesters,1,6240,2022-08,['2022-08']
generation vote,1,6241,2022-08,['2022-08']
"frontline dads, inc.",1,6242,2022-08,['2022-08']
brick city peace collective,1,6243,2022-08,['2022-08']
southern idaho women's rights,1,6244,2022-08,['2022-08']
native lives matter 5280,1,6245,2022-08,['2022-08']
denver action network,1,6246,2022-08,['2022-08']
colorado socialist revolution - imt,1,6247,2022-08,['2022-08']
we the people 303,1,6248,2022-08,['2022-08']
fixpat,1,6249,2022-08,['2022-08']
ward 6 mutual aid,1,6250,2022-08,['2022-08']
dc child justice coalition,1,6251,2022-08,['2022-08']
death row angels of texas,1,6252,2022-08,['2022-08']
death penalty action network,1,6253,2022-08,['2022-08']
sku campaign & intergenerational movement,1,6254,2022-08,['2022-08']
black futurists group,1,6255,2022-08,['2022-08']
national association of criminal defense lawyers,1,6256,2022-08,['2022-08']
new york state association of criminal defense lawyers,1,6257,2022-08,['2022-08']
representatives of the criminal justice act panel in the sdny and edny,1,6258,2022-08,['2022-08']
new york council of defense lawyers,1,6259,2022-08,['2022-08']
"federal defenders of new york, inc.",1,6260,2022-08,['2022-08']
fulton crisis care coalition,1,6261,2022-08,['2022-08']
solutions not punishment collaborative,1,6262,2022-08,['2022-08']
southern center for human rights,1,6263,2022-08,['2022-08']
neighbors for abolition,1,6264,2022-08,['2022-08']
glahr,1,6265,2022-08,['2022-08']
gcadv,1,6266,2022-08,['2022-08']
"women watch afrika, inc.",1,6267,2022-08,['2022-08']
the people's agenda,1,6268,2022-08,['2022-08']
new york criminal bar association,1,6269,2022-08,['2022-08']
democrats and self-described progressives,1,6270,2022-07,['2022-07']
emancipate nc,1,6271,2022-07,['2022-07']
aclu-wv,1,6272,2022-07,['2022-07']
the center for constitutional rights,1,6273,2022-07,['2022-07']
ny dignity not detention,1,6274,2022-07,['2022-07']
dr. martin luther king jr. neighborhood association,1,6275,2022-07,['2022-07']
local grassroots activists,1,6276,2022-07,['2022-07']
grace presbyterian church,1,6277,2022-07,['2022-07']
one community one voice,1,6278,2022-07,['2022-07']
aclu pennsylvania,1,6279,2022-07,['2022-07']
education law center,1,6280,2022-07,['2022-07']
bucks naacp,1,6281,2022-07,['2022-07']
families united coalition,1,6282,2022-08,['2022-08']
women4change indiana,1,6283,2022-07,['2022-07']
planned parenthood alliance advocates,1,6284,2022-07,['2022-07']
aclu of indiana,1,6285,2022-07,['2022-07']
the humanization project,1,6286,2022-07,['2022-07']
incarcerated lives matter va,1,6287,2022-07,['2022-07']
brilliance behind bars,1,6288,2022-07,['2022-07']
sisters in prison reform,1,6289,2022-07,['2022-07']
texas center for justice & equity,1,6290,2022-07,['2022-07']
texas advocates for justice,1,6291,2022-07,['2022-07']
zeldin for new york,1,6292,2022-07,['2022-07']
bay area codepink,1,6293,2022-07,['2022-07']
war on women mn,1,6294,2022-07,['2022-07']
kootenai county women's march,1,6295,2022-07,['2022-07']
moms of georgia,1,6296,2022-08,['2022-08']
family recovery center/project dawn,1,6297,2022-08,['2022-08']
naacp east liverpool & wellsville,1,6298,2022-08,['2022-08']
decarcerate utah,1,6299,2022-08,['2022-08']
blaccent,1,6300,2022-08,['2022-08']
change waco,1,6301,2022-08,['2022-08']
houston texas advocates for justice,1,6302,2022-08,['2022-08']
montclair beyond policing,1,6303,2022-08,['2022-08']
obs stl,1,6304,2022-08,['2022-08']
fully free,1,6305,2022-08,['2022-08']
cannabis equity illinois coalition,1,6306,2022-08,['2022-08']
challenge ii change,1,6307,2022-08,['2022-08']
reinvest in conway,1,6308,2022-08,['2022-08']
humanities truck,1,6309,2022-08,['2022-08']
decrim poverty dc,1,6310,2022-08,['2022-08']
baltimore harm reduction coalition,1,6311,2022-08,['2022-08']
northridge indivisible,1,6312,2022-08,['2022-08']
bend the arc southern california,1,6313,2022-08,['2022-08']
ice out of california coalition,1,6314,2022-08,['2022-08']
oakland rising,1,6315,2022-08,['2022-08']
semillas,1,6316,2022-08,['2022-08']
uujaz,1,6317,2022-08,['2022-08']
chispa arizona,1,6318,2022-08,['2022-08']
black phoenix organizing collective,1,6319,2022-08,['2022-08']
poder in action,1,6320,2022-08,['2022-08']
white people against white supremacy,1,6321,2022-08,['2022-08']
southsiders organized for safety & liberation,1,6322,2022-08,['2022-08']
nsc-131,1,6323,2022-10,['2022-10']
celebrities,1,6324,2022-10,['2022-10']
montana innocence project,1,6325,2022-09,['2022-09']
planned parenthood action,1,6326,2022-09,['2022-09']
the leadership conference on civil and human rights,1,6327,2022-09,['2022-09']
when we all vote,1,6328,2022-09,['2022-09']
defend the future,1,6329,2022-09,['2022-09']
defend the future coalition,1,6330,2022-09,['2022-09']
groypers,1,6331,2022-09,['2022-09']
parents and patriots against predators,1,6332,2022-09,['2022-09']
corrections officers benevolent association,1,6333,2022-09,['2022-09']
loved ones of people who have died in solitary,1,6334,2022-09,['2022-09']
coalition against death by imprisonment,1,6335,2022-08,['2022-08']
giffords pac,1,6336,2022-09,['2022-09']
lisjan,1,6337,2022-09,['2022-09']
against carceral tech pittsburgh,1,6338,2022-09,['2022-09']
condemnedusa,1,6339,2022-09,['2022-09']
south central pennsylvania patriots,1,6340,2022-09,['2022-09']
friends of doug mastriano,1,6341,2022-09,['2022-09']
fau,1,6342,2022-09,['2022-09']
metropolitan anarchist coordinating council,1,6343,2022-09,['2022-09']
iww nyc,1,6344,2022-09,['2022-09']
employ prince george's,1,6345,2022-09,['2022-09']
1776 restoration movement,1,6346,2022-09,['2022-09']
stop hate,1,6347,2022-09,['2022-09']
laborers local 413,1,6348,2022-09,['2022-09']
women fighting for america,1,6349,2022-10,['2022-10']
oregon republican party,1,6350,2022-10,['2022-10']
free oregon,1,6351,2022-10,['2022-10']
boston red cloaks,1,6352,2022-10,['2022-10']
glenview pride,1,6353,2022-10,['2022-10']
moms demand action glenview northbrook,1,6354,2022-10,['2022-10']
league of women voters glenview-glencoe,1,6355,2022-10,['2022-10']
the lincoln project,1,6356,2022-10,['2022-10']
era coalition,1,6357,2022-10,['2022-10']
women's collaborative for colorado - boulder county,1,6358,2022-10,['2022-10']
black political empowerment project,1,6359,2022-10,['2022-10']
take action advocacy group,1,6360,2022-10,['2022-10']
the #freedwaynebrooks movement,1,6361,2022-10,['2022-10']
cr&f 2110,1,6362,2022-10,['2022-10']
columbia postdoctoral workers,1,6363,2022-10,['2022-10']
student workers of columbia university,1,6364,2022-10,['2022-10']
reproductive justice collective new york,1,6365,2022-10,['2022-10']
columbia university resident advisors,1,6366,2022-10,['2022-10']
graduate student action network,1,6367,2022-10,['2022-10']
chinese progressive association,1,6368,2022-10,['2022-10']
communities for a better environment,1,6369,2022-10,['2022-10']
poder,1,6370,2022-10,['2022-10']
arab resource and organizing center,1,6371,2022-10,['2022-10']
acts full gospel church,1,6372,2022-10,['2022-10']
breaking silence with prison reform,1,6373,2022-10,['2022-10']
new order national human rights organization,1,6374,2022-10,['2022-10']
pittsburgh interfaith impact network,1,6375,2022-10,['2022-10']
northwest bronx democrats for change,1,6376,2022-09,['2022-09']
friends of devoe park,1,6377,2022-09,['2022-09']
incarceration and civil liberty advocates,1,6378,2022-09,['2022-09']
recovery advocacy project maine,1,6379,2022-09,['2022-09']
mass peace action,1,6380,2022-09,['2022-09']
we push for peace,1,6381,2022-09,['2022-09']
a mother's love initiative,1,6382,2022-09,['2022-09']
los angeles county public defenders union,1,6383,2022-09,['2022-09']
mishkan chicago,1,6384,2022-09,['2022-09']
second unitarian church,1,6385,2022-09,['2022-09']
justice unity & social transformation,1,6386,2022-09,['2022-09']
justice for our neighbors el paso,1,6387,2022-09,['2022-09']
#haltsolitary,1,6388,2022-09,['2022-09']
nmilc,1,6389,2022-09,['2022-09']
luzerne county republicans,1,6390,2022-08,['2022-08']
community and city leaders,1,6391,2022-08,['2022-08']
ice out of ca,1,6392,2022-08,['2022-08']
committee to recall district attorney gascon,1,6393,2022-08,['2022-08']
no jail deaths coalition,1,6394,2022-08,['2022-08']
funeral home workers,1,6395,2022-08,['2022-08']
democratic national committee,1,6396,2022-08,['2022-08']
family members of detainees,1,6397,2022-08,['2022-08']
capital area immigrant's rights coalition,1,6398,2022-08,['2022-08']
close the camps,1,6399,2022-08,['2022-08']
new york city icewatch,1,6400,2022-08,['2022-08']
aclu new mexico,1,6401,2022-09,['2022-09']
new york city jails action coalition,1,6402,2022-09,['2022-09']
western mass just faith,1,6403,2022-09,['2022-09']
new north citizens council,1,6404,2022-09,['2022-09']
roca,1,6405,2022-09,['2022-09']
families of people who have died in custody,1,6406,2022-09,['2022-09']
black lives matter richmond virginia,1,6407,2022-09,['2022-09']
state tejano democrats,1,6408,2022-09,['2022-09']
texas organizing project pac,1,6409,2022-09,['2022-09']
parenthood texas votes pac,1,6410,2022-09,['2022-09']
lowell/lawrence anarchist black cross,1,6411,2022-09,['2022-09']
youth corporation inc.,1,6412,2022-09,['2022-09']
detectives' endowment association,1,6413,2022-09,['2022-09']
republican lawmakers,1,6414,2022-09,['2022-09']
and clean water action,1,6415,2022-09,['2022-09']
the bayard rustin center for social justice,1,6416,2022-09,['2022-09']
nj institute for social justice,1,6417,2022-09,['2022-09']
coalition for peace action,1,6418,2022-09,['2022-09']
parents who have lost children to gun violence,1,6419,2022-09,['2022-09']
athens economic justice coalition,1,6420,2022-09,['2022-09']
united campus workers of georgia,1,6421,2022-09,['2022-09']
armenian-americans,1,6422,2022-09,['2022-09']
armenian revolutionary federation,1,6423,2022-09,['2022-09']
decarcerate sacramento,1,6424,2022-09,['2022-09']
