actor,occurrence_count,rank,first_appearance,unique_dates
college football players,1,13195,2020-08,['2020-08']
brothers building,1,13196,2020-08,['2020-08']
progressive leaders of tomorrow and people⊙s organization for progress,1,13197,2020-08,['2020-08']
western new york liberation collective,1,13198,2020-08,['2020-08']
naacp portland,1,13199,2020-08,['2020-08']
black lives matter south carolina,1,13200,2020-08,['2020-08']
amplify action,1,13201,2020-08,['2020-08']
national action network-sc,1,13202,2020-08,['2020-08']
sc aids healthcare foundation,1,13203,2020-08,['2020-08']
one republic militia,1,13204,2020-08,['2020-08']
south carolina patriots,1,13205,2020-08,['2020-08']
houston astros,1,13206,2020-08,['2020-08']
vote common good,1,13207,2020-08,['2020-08']
eastside change coalition,1,13208,2020-08,['2020-08']
genral protesters,1,13209,2020-08,['2020-08']
university of kansas community,1,13210,2020-08,['2020-08']
human coalition action,1,13211,2020-09,['2020-09']
refuse fascism - detroit area,1,13212,2020-09,['2020-09']
los brown berets - minnesota,1,13213,2020-09,['2020-09']
the truce center,1,13214,2020-09,['2020-09']
group of rock climbers,1,13215,2020-09,['2020-09']
refuse fascism nyc,1,13216,2020-09,['2020-09']
the progressive report,1,13217,2020-09,['2020-09']
portland united for justice and equality,1,13218,2020-09,['2020-09']
save our peoples,1,13219,2020-09,['2020-09']
philly refuse fascism,1,13220,2020-09,['2020-09']
refuse fascism atx,1,13221,2020-09,['2020-09']
people against the system,1,13222,2020-09,['2020-09']
refuse fascism texas,1,13223,2020-09,['2020-09']
refuse fascism seattle,1,13224,2020-09,['2020-09']
students from milwaukee high school of the arts,1,13225,2020-09,['2020-09']
galesburg naacp chapter,1,13226,2020-08,['2020-08']
refuse fascism southern and central illinois,1,13227,2020-09,['2020-09']
in black ink,1,13228,2020-09,['2020-09']
new bedford blm rallies,1,13229,2020-09,['2020-09']
unity southeast in kansas city,1,13230,2020-09,['2020-09']
love thy neighbor - kansas city,1,13231,2020-09,['2020-09']
world workers party,1,13232,2020-09,['2020-09']
world workers party philadelphia,1,13233,2020-09,['2020-09']
seattle alliance against racist and political oppression,1,13234,2020-09,['2020-09']
unite here local 8,1,13235,2020-09,['2020-09']
daybreak star,1,13236,2020-09,['2020-09']
pink umbrella medical collective,1,13237,2020-09,['2020-09']
naacp anchorage,1,13238,2020-09,['2020-09']
lake bluff social club,1,13239,2020-09,['2020-09']
highwood co-alliance for racial equality,1,13240,2020-09,['2020-09']
bikers riding against police brutality - brapb,1,13241,2020-09,['2020-09']
wauwatosa residents,1,13242,2020-09,['2020-09']
darrc,1,13243,2020-08,['2020-08']
black at app state collective,1,13244,2020-08,['2020-08']
monmouth for justice,1,13245,2020-08,['2020-08']
sjsu football,1,13246,2020-09,['2020-09']
#nomore,1,13247,2020-09,['2020-09']
black lives matter lake county illinois,1,13248,2020-09,['2020-09']
tampa students,1,13249,2020-09,['2020-09']
marist college students,1,13250,2020-09,['2020-09']
allegheny county employees and allies,1,13251,2020-09,['2020-09']
port authority of allegheny county employees,1,13252,2020-09,['2020-09']
extend a hand help a friend,1,13253,2020-09,['2020-09']
southern defense force,1,13254,2020-09,['2020-09']
philadelphia tenants union,1,13255,2020-09,['2020-09']
umlc student government association,1,13256,2020-09,['2020-09']
gaston county freedom fighters,1,13257,2020-09,['2020-09']
the frederick douglass foundation,1,13258,2020-09,['2020-09']
refuse fascism boston,1,13259,2020-09,['2020-09']
civic youth summit,1,13260,2020-09,['2020-09']
angry vikings,1,13261,2020-09,['2020-09']
national patriotic defense team,1,13262,2020-09,['2020-09']
muncie indiana blm vigils,1,13263,2020-09,['2020-09']
freedom first international,1,13264,2020-09,['2020-09']
refuse fascism atl,1,13265,2020-09,['2020-09']
bergen county chapter of the naacp,1,13266,2020-09,['2020-09']
the revcoms,1,13267,2020-09,['2020-09']
occupy orange county,1,13268,2020-09,['2020-09']
sac social justice events,1,13269,2020-09,['2020-09']
sacramento street ems,1,13270,2020-09,['2020-09']
black lives matter stockton 2.0,1,13271,2020-09,['2020-09']
uw athletes,1,13272,2020-09,['2020-09']
party for socialism and liberation - philadelphia,1,13273,2020-09,['2020-09']
new afrikan black panther party,1,13274,2020-09,['2020-09']
refuse fascism san diego,1,13275,2020-09,['2020-09']
southern illinois immigrant rights project,1,13276,2020-10,['2020-10']
midwest council for civil rights,1,13277,2020-10,['2020-10']
black womens collective,1,13278,2020-10,['2020-10']
alleghany county naacp branch 7007,1,13279,2020-10,['2020-10']
black portland organizers working to end racism,1,13280,2020-10,['2020-10']
south warren alliance of radical movement,1,13281,2020-10,['2020-10']
unbroken promise initiative,1,13282,2020-10,['2020-10']
wide awakes,1,13283,2020-10,['2020-10']
anti-racism anti-police brutality coalition,1,13284,2020-10,['2020-10']
cincinnati for justice,1,13285,2020-10,['2020-10']
put the people first pa,1,13286,2020-10,['2020-10']
black philly radical collective,1,13287,2020-10,['2020-10']
mobilization4mumia,1,13288,2020-10,['2020-10']
the watchmen,1,13289,2020-10,['2020-10']
san angelo equity alliance,1,13290,2020-10,['2020-10']
urban league of central carolinas young professionals,1,13291,2020-09,['2020-09']
coming to the table,1,13292,2020-10,['2020-10']
african emergency relief foundation/peace on the streets,1,13293,2020-10,['2020-10']
women against trump,1,13294,2020-10,['2020-10']
el segundo for black lives,1,13295,2020-10,['2020-10']
south bay for social and racial justice,1,13296,2020-10,['2020-10']
sierra center for spiritual living,1,13297,2020-10,['2020-10']
grass valley friends meeting (quakers),1,13298,2020-10,['2020-10']
sierra sufi circle,1,13299,2020-10,['2020-10']
unitarian universalist community of the mountains,1,13300,2020-10,['2020-10']
nevada county sunrise movement,1,13301,2020-10,['2020-10']
nevada county health care for all,1,13302,2020-10,['2020-10']
nevada county move to amend,1,13303,2020-10,['2020-10']
goright,1,13304,2020-10,['2020-10']
gays go right,1,13305,2020-10,['2020-10']
gays for trump,1,13306,2020-10,['2020-10']
the movement organization,1,13307,2020-10,['2020-10']
new voices cleveland,1,13308,2020-09,['2020-09']
solidaritea,1,13309,2020-09,['2020-09']
grace baptist church,1,13310,2020-09,['2020-09']
haiti justice committee of minnesota,1,13311,2020-09,['2020-09']
black wall usa,1,13312,2020-09,['2020-09']
minority veterans of america,1,13313,2020-09,['2020-09']
invisible combat,1,13314,2020-09,['2020-09']
the heal netwerk,1,13315,2020-09,['2020-09']
nomas movement,1,13316,2020-09,['2020-09']
stop san quentin outbreak,1,13317,2020-10,['2020-10']
sistas' with voices,1,13318,2020-10,['2020-10']
abolitionist action central coast slo,1,13319,2020-10,['2020-10']
uc cops off campus,1,13320,2020-10,['2020-10']
racial and ethnic coalition,1,13321,2020-10,['2020-10']
vigil in support of black lives matter in jamaica plain,1,13322,2020-10,['2020-10']
naper youth for blm,1,13323,2020-10,['2020-10']
uga students,1,13324,2020-10,['2020-10']
cruise for a cause,1,13325,2020-10,['2020-10']
northwood university black student union,1,13326,2020-10,['2020-10']
washburn student government association,1,13327,2020-10,['2020-10']
march against violence,1,13328,2020-10,['2020-10']
justice for justin teigen,1,13329,2020-10,['2020-10']
elon university students,1,13330,2020-10,['2020-10']
faculty and staff,1,13331,2020-10,['2020-10']
party for socialism and liberation-achorage,1,13332,2020-10,['2020-10']
st. barnabas episcopal church-cortez,1,13333,2020-10,['2020-10']
845 unity,1,13334,2020-10,['2020-10']
we the people for democracy and fight against injustice and inequality,1,13335,2020-10,['2020-10']
linn county democrats affirmative action caucus,1,13336,2020-10,['2020-10']
black men of cedar rapids,1,13337,2020-10,['2020-10']
fusion of light entertainment,1,13338,2020-10,['2020-10']
unitarian universalist society: east,1,13339,2020-10,['2020-10']
generational resistance,1,13340,2020-10,['2020-10']
sisterspgh,1,13341,2020-10,['2020-10']
o'odham anti border collective,1,13342,2020-10,['2020-10']
defend o'odham jewed,1,13343,2020-10,['2020-10']
o'odham land and water protectors,1,13344,2020-10,['2020-10']
naacp of greater waterbury,1,13345,2020-10,['2020-10']
lincoln college students,1,13346,2020-10,['2020-10']
justice for elder fernandes committee,1,13347,2020-10,['2020-10']
poc-led groups,1,13348,2020-10,['2020-10']
indigenous protectors united,1,13349,2020-10,['2020-10']
martizians for black lives,1,13350,2020-10,['2020-10']
black lives matter marchers,1,13351,2020-10,['2020-10']
episcopal church of minnesota,1,13352,2020-10,['2020-10']
jackson city court clerk daryl hubbard and local activist tracy boyd,1,13353,2020-10,['2020-10']
black lives matter umcp,1,13354,2020-10,['2020-10']
demand free speech,1,13355,2020-10,['2020-10']
springfield college leadership team,1,13356,2020-10,['2020-10']
men of excellence,1,13357,2020-10,['2020-10']
women of power,1,13358,2020-10,['2020-10']
student society for bridging diversity,1,13359,2020-10,['2020-10']
black lives matter bergen,1,13360,2020-10,['2020-10']
poc bergenfield alumni,1,13361,2020-10,['2020-10']
uws open hearts initiative,1,13362,2020-10,['2020-10']
jay-z's team roc,1,13363,2020-10,['2020-10']
csra black lives matter,1,13364,2020-10,['2020-10']
augusta democratic socialists of america,1,13365,2020-10,['2020-10']
bringing lives and communities closer,1,13366,2020-10,['2020-10']
men accountability council,1,13367,2020-10,['2020-10']
fairfax smash the fash,1,13368,2020-10,['2020-10']
the w.e. rising project,1,13369,2020-10,['2020-10']
arizona ld 20 democrats,1,13370,2020-10,['2020-10']
we demand justice,1,13371,2020-10,['2020-10']
working for justice-alpena,1,13372,2020-10,['2020-10']
justice ride,1,13373,2020-10,['2020-10']
ohio community coalition akron chapter,1,13374,2020-10,['2020-10']
i choose love,1,13375,2020-10,['2020-10']
change party,1,13376,2020-10,['2020-10']
black lives matter topeka,1,13377,2020-10,['2020-10']
bayside-black lives matter,1,13378,2020-10,['2020-10']
upstate action alliance,1,13379,2020-10,['2020-10']
old saybrook march for justice,1,13380,2020-10,['2020-10']
uofu students for a democratic society,1,13381,2020-10,['2020-10']
facultuy,1,13382,2020-10,['2020-10']
and staff,1,13383,2020-10,['2020-10']
minnesota neighbors for justice,1,13384,2020-10,['2020-10']
minority student-athlete leadership team,1,13385,2020-10,['2020-10']
student-athlete advisory committee,1,13386,2020-10,['2020-10']
fayette county republican party,1,13387,2020-10,['2020-10']
well suited,1,13388,2020-10,['2020-10']
the people⊙s revolutionary party of decatur,1,13389,2020-10,['2020-10']
refuse fascism central & southern illinois,1,13390,2020-10,['2020-10']
progressive voices of central illinois,1,13391,2020-10,['2020-10']
american indian movement of colorado,1,13392,2020-10,['2020-10']
pueblo abolish columbus day committee,1,13393,2020-10,['2020-10']
rochester for ny health,1,13394,2020-10,['2020-10']
honk,1,13395,2020-10,['2020-10']
nwi solidarity,1,13396,2020-10,['2020-10']
theythem collective,1,13397,2020-10,['2020-10']
sons of silence,1,13398,2020-10,['2020-10']
kage universal,1,13399,2020-10,['2020-10']
california prison focus,1,13400,2020-10,['2020-10']
uw black and indigenous people of color coalition,1,13401,2020-10,['2020-10']
university of wisconsin teaching assistants' association,1,13402,2020-10,['2020-10']
mountain valley climate action,1,13403,2020-10,['2020-10']
stop the violence coalition,1,13404,2020-10,['2020-10']
mobilizing millennials,1,13405,2020-09,['2020-09']
greensboro rising,1,13406,2020-09,['2020-09']
black lives matter wilmington nc,1,13407,2020-09,['2020-09']
slow roll,1,13408,2020-09,['2020-09']
syracuse police accountability and reform coalition,1,13409,2020-09,['2020-09']
penn delco for racial equality,1,13410,2020-09,['2020-09']
black student union of msu texas,1,13411,2020-09,['2020-09']
strive clark county and ridgefield freedom of assembly,1,13412,2020-09,['2020-09']
marquette students,1,13413,2020-09,['2020-09']
mu students,1,13414,2020-09,['2020-09']
black lives matter kern,1,13415,2020-09,['2020-09']
sf human rights commission,1,13416,2020-09,['2020-09']
justice alliance for momentum,1,13417,2020-09,['2020-09']
university of louisville men's basketball team,1,13418,2020-09,['2020-09']
murray state university students and several community members,1,13419,2020-09,['2020-09']
gather 4 justice,1,13420,2020-09,['2020-09']
br for the people,1,13421,2020-09,['2020-09']
democracy at work lsu,1,13422,2020-09,['2020-09']
young democratic socialists of america at northeastern university,1,13423,2020-09,['2020-09']
minnetonka coalition for equitable education,1,13424,2020-09,['2020-09']
st. louis coalition on justice reform,1,13425,2020-09,['2020-09']
justice for loved ones killed by police,1,13426,2020-09,['2020-09']
entertainers,1,13427,2020-09,['2020-09']
okstate stand united,1,13428,2020-09,['2020-09']
deschutes youth climate congress,1,13429,2020-09,['2020-09']
lightfoot militia,1,13430,2020-09,['2020-09']
ccu students,1,13431,2020-09,['2020-09']
emancipate cleveland,1,13432,2020-09,['2020-09']
tacoma 350,1,13433,2020-09,['2020-09']
washington youth for climate justice,1,13434,2020-09,['2020-09']
sunrise tacoma,1,13435,2020-09,['2020-09']
aclu of louisiana,1,13436,2020-09,['2020-09']
occupy ithaca,1,13437,2020-09,['2020-09']
peoples climate movement ny,1,13438,2020-09,['2020-09']
united confederation of taino people,1,13439,2020-09,['2020-09']
the world can't wait,1,13440,2020-09,['2020-09']
atlantic climate justice alliance,1,13441,2020-09,['2020-09']
refuse fascism tx,1,13442,2020-09,['2020-09']
#savetps,1,13443,2020-09,['2020-09']
eastern panhandle central labor council afl-cio,1,13444,2020-09,['2020-09']
tohono o'odham,1,13445,2020-09,['2020-09']
youth liberals high desert,1,13446,2020-09,['2020-09']
members of the kumeyaay nation,1,13447,2020-09,['2020-09']
american friends service committee bay area,1,13448,2020-09,['2020-09']
tech workers coalition,1,13449,2020-09,['2020-09']
palo alto against ice,1,13450,2020-09,['2020-09']
winston-salem firefighters and supporters,1,13451,2020-09,['2020-09']
students at uni,1,13452,2020-09,['2020-09']
cure violence,1,13453,2020-09,['2020-09']
dutchtown justice alliance,1,13454,2020-09,['2020-09']
marquette community day,1,13455,2020-09,['2020-09']
run for breonna,1,13456,2020-09,['2020-09']
national patriot defense team,1,13457,2020-09,['2020-09']
heart to hearts,1,13458,2020-09,['2020-09']
ou student-athletes,1,13459,2020-09,['2020-09']
party for socialism and liberation salt lake,1,13460,2020-09,['2020-09']
350 vermont,1,13461,2020-09,['2020-09']
laramie human rights network,1,13462,2020-09,['2020-09']
yale school of medicine office of diversity,1,13463,2020-09,['2020-09']
inclusion,1,13464,2020-09,['2020-09']
community engagement,1,13465,2020-09,['2020-09']
and equity,1,13466,2020-09,['2020-09']
black lives matter sarasota-manatee alliance,1,13467,2020-09,['2020-09']
olean racial justice coalition,1,13468,2020-09,['2020-09']
lower bucks for change,1,13469,2020-09,['2020-09']
carlisle for justice transparency,1,13470,2020-09,['2020-09']
penn state black student athletes,1,13471,2020-09,['2020-09']
march for our lives houston,1,13472,2020-09,['2020-09']
indivisible houston,1,13473,2020-09,['2020-09']
arlington for justice,1,13474,2020-09,['2020-09']
n'step,1,13475,2020-09,['2020-09']
self-identifying nazis,1,13476,2020-09,['2020-09']
bay area health workers,1,13477,2020-09,['2020-09']
csueb nursing students,1,13478,2020-09,['2020-09']
do no harm,1,13479,2020-09,['2020-09']
essential food and medicine,1,13480,2020-09,['2020-09']
youth solidarity project,1,13481,2020-09,['2020-09']
i run with maude-south lake tahoe,1,13482,2020-09,['2020-09']
black lives matter alliance broward,1,13483,2020-09,['2020-09']
mobilize mobile,1,13484,2020-09,['2020-09']
educate,1,13485,2020-09,['2020-09']
advocate,1,13486,2020-09,['2020-09']
transcend,1,13487,2020-09,['2020-09']
suffolk county democratic socialists of america,1,13488,2020-09,['2020-09']
black long island,1,13489,2020-09,['2020-09']
ohio community coalition-akron,1,13490,2020-09,['2020-09']
mosaix cincy network,1,13491,2020-09,['2020-09']
college of wooster students,1,13492,2020-09,['2020-09']
truth,1,13493,2020-09,['2020-09']
malcolm x center for self-determination and human rights,1,13494,2020-09,['2020-09']
no justice,1,13495,2020-09,['2020-09']
no peace-roanoke,1,13496,2020-09,['2020-09']
warwick bipoc alliance,1,13497,2020-09,['2020-09']
central york high school senior unique fields,1,13498,2020-09,['2020-09']
black lives matter-mississippi,1,13499,2020-09,['2020-09']
girls with scars,1,13500,2020-09,['2020-09']
merced black alliance,1,13501,2020-09,['2020-09']
merced people of color,1,13502,2020-09,['2020-09']
las vegas libertarian,1,13503,2020-09,['2020-09']
west marin activism,1,13504,2020-09,['2020-09']
nextgen united,1,13505,2020-09,['2020-09']
university of redlands black student union,1,13506,2020-09,['2020-09']
urban organizers coalition,1,13507,2020-09,['2020-09']
march 4 black women denver,1,13508,2020-09,['2020-09']
party for socialism and liberation-denver,1,13509,2020-09,['2020-09']
they/them,1,13510,2020-09,['2020-09']
the sound miami,1,13511,2020-09,['2020-09']
bg pride,1,13512,2020-09,['2020-09']
the pinta pride project of buffalo grove,1,13513,2020-09,['2020-09']
my block,1,13514,2020-09,['2020-09']
my hood,1,13515,2020-09,['2020-09']
black lives matter lehigh valley,1,13516,2020-09,['2020-09']
juice pdx,1,13517,2020-09,['2020-09']
rca,1,13518,2020-09,['2020-09']
popmob,1,13519,2020-09,['2020-09']
naacp-university of toledo,1,13520,2020-09,['2020-09']
toledo together,1,13521,2020-09,['2020-09']
monroe area youth alliance,1,13522,2020-09,['2020-09']
better dayton,1,13523,2020-09,['2020-09']
my city,1,13524,2020-09,['2020-09']
equality for troy,1,13525,2020-09,['2020-09']
nv,1,13526,2020-09,['2020-09']
black live matter-carson city,1,13527,2020-09,['2020-09']
clt uprising,1,13528,2020-09,['2020-09']
college football players and coaches,1,13529,2020-09,['2020-09']
western massachusetts jobs with justice,1,13530,2020-09,['2020-09']
progressive massachusetts,1,13531,2020-09,['2020-09']
wichita coalition against gun violence,1,13532,2020-09,['2020-09']
operation change cincinnati,1,13533,2020-09,['2020-09']
nation street precheers conference,1,13534,2018-03,['2018-03']
milpitas recreation services,1,13535,2018-04,['2018-04']
united afrikan movement gary/chigao,1,13536,2018-04,['2018-04']
watertown residents for peace,1,13537,2018-04,['2018-04']
justice and equality,1,13538,2018-04,['2018-04']
remember mlk jr.,1,13539,2018-04,['2018-04']
artists 4 justice,1,13540,2018-04,['2018-04']
the albina ministerial alliance,1,13541,2018-04,['2018-04']
the beloved community of oregon,1,13542,2018-04,['2018-04']
ecumenical ministries of oregon,1,13543,2018-04,['2018-04']
and the national association for the advancement of colored people,1,13544,2018-04,['2018-04']
100sistas and black lives matter hudson valley,1,13545,2018-04,['2018-04']
black lives matter hudson valley,1,13546,2018-04,['2018-04']
latino memphis and southern poverty law center,1,13547,2018-04,['2018-04']
legal aid and bronx defenders attorneys,1,13548,2018-04,['2018-04']
the movement 850,1,13549,2020-06,['2020-06']
united latin american citizens,1,13550,2018-04,['2018-04']
immigration groups,1,13551,2018-04,['2018-04']
politicians and activists,1,13552,2018-04,['2018-04']
proud boys new england,1,13553,2018-04,['2018-04']
concord student action,1,13554,2018-04,['2018-04']
the black star project,1,13555,2018-04,['2018-04']
nyu refugee week,1,13556,2018-04,['2018-04']
compañeros inmigrantes de las montañas en acción,1,13557,2018-04,['2018-04']
rally for black lives,1,13558,2018-04,['2018-04']
the national socialist movement,1,13559,2018-04,['2018-04']
#nonazinewnan coalition,1,13560,2018-04,['2018-04']
atlanta black cross,1,13561,2018-04,['2018-04']
atlanta general defense comittee,1,13562,2018-04,['2018-04']
atlanta industrial workers of the world,1,13563,2018-04,['2018-04']
atlanta resistance medics,1,13564,2018-04,['2018-04']
tn immigrant and refugee rights coalition,1,13565,2018-04,['2018-04']
middle school students,1,13566,2018-02,['2018-02']
compañeros: four corners immigrant resource center,1,13567,2018-02,['2018-02']
durango peace and justice,1,13568,2018-02,['2018-02']
durango save the children.,1,13569,2018-02,['2018-02']
the people of color caucus in burlington,1,13570,2018-02,['2018-02']
free syed ahmed jamal,1,13571,2018-02,['2018-02']
women to the front,1,13572,2018-02,['2018-02']
ny black lives matter,1,13573,2018-02,['2018-02']
students of suny plattsburgh,1,13574,2018-02,['2018-02']
pilgrim's pride employees,1,13575,2018-02,['2018-02']
black solidarity week,1,13576,2018-02,['2018-02']
national antifa,1,13577,2018-02,['2018-02']
coalition for consent,1,13578,2018-02,['2018-02']
lake love,1,13579,2018-02,['2018-02']
the people's assembly,1,13580,2018-02,['2018-02']
general rallyers,1,13581,2018-03,['2018-03']
compassionate fremont,1,13582,2018-02,['2018-02']
nonames for justice,1,13583,2018-02,['2018-02']
connecticut bail fund,1,13584,2018-02,['2018-02']
"""dreamers""",1,13585,2018-03,['2018-03']
black lives matter and houston rising,1,13586,2018-03,['2018-03']
uc merced⊙s college republicans,1,13587,2018-03,['2018-03']
pan valley institute,1,13588,2018-03,['2018-03']
critics of stonewall columbus,1,13589,2018-03,['2018-03']
the people for bernie sanders,1,13590,2018-03,['2018-03']
in defense of immigrant rights,1,13591,2018-03,['2018-03']
dc democratic socalists of america,1,13592,2018-03,['2018-03']
association of legal aid attorneys,1,13593,2018-03,['2018-03']
housingforall dc,1,13594,2018-03,['2018-03']
good neighbors of hastings,1,13595,2018-03,['2018-03']
colorado immigrant rights coalition and grupo esperanza of colorado springs,1,13596,2018-03,['2018-03']
cny solidarity coalition,1,13597,2018-02,['2018-02']
takeemdownjax,1,13598,2018-05,['2018-05']
movement for all immigrants,1,13599,2018-05,['2018-05']
uva alumni,1,13600,2018-05,['2018-05']
minnesota immigrations rights action committee.,1,13601,2018-05,['2018-05']
united airlines catering employees,1,13602,2018-05,['2018-05']
move monument denton,1,13603,2018-05,['2018-05']
aclu colorado,1,13604,2018-06,['2018-06']
idaho organizing project,1,13605,2018-06,['2018-06']
poder (protecting our dreams and empowering resilience) of idaho,1,13606,2018-06,['2018-06']
idaho coalition against sexual and domestic violence,1,13607,2018-06,['2018-06']
the international rescue committee,1,13608,2018-06,['2018-06']
idaho moms for a brighter future,1,13609,2018-06,['2018-06']
ywca of kalamazoo,1,13610,2018-06,['2018-06']
communities united for rochester empowerment,1,13611,2018-06,['2018-06']
high school staff members,1,13612,2018-06,['2018-06']
metro atlanta democratic socialists of america,1,13613,2018-04,['2018-04']
showing up for racial justice boston,1,13614,2018-06,['2018-06']
southwest environment center,1,13615,2018-06,['2018-06']
the ghost squad,1,13616,2018-06,['2018-06']
direct action alliance,1,13617,2018-06,['2018-06']
empower portland,1,13618,2018-06,['2018-06']
sacramento black women united,1,13619,2018-06,['2018-06']
castleton indivisible,1,13620,2018-06,['2018-06']
massachusetts safe communities coalition,1,13621,2018-06,['2018-06']
unidad latina en acción - ula,1,13622,2018-06,['2018-06']
pioneer valley women's march,1,13623,2018-06,['2018-06']
mainers for accountable leadership,1,13624,2018-06,['2018-06']
naacp of erie,1,13625,2018-06,['2018-06']
erie cpr: connect + respect,1,13626,2018-06,['2018-06']
prison staff,1,13627,2018-06,['2018-06']
patriots for the children,1,13628,2018-06,['2018-06']
aclu of utah,1,13629,2018-06,['2018-06']
northeast georgia democratic socialists of america,1,13630,2018-04,['2018-04']
savannah antifa,1,13631,2018-04,['2018-04']
savannah comrades,1,13632,2018-04,['2018-04']
socialist party of east alabama,1,13633,2018-04,['2018-04']
southern anti racist action,1,13634,2018-04,['2018-04']
street groomers,1,13635,2018-04,['2018-04']
transit atlanta,1,13636,2018-04,['2018-04']
trigger warning atlanta,1,13637,2018-04,['2018-04']
western north carolina antifa,1,13638,2018-04,['2018-04']
workers solidarity alliance,1,13639,2018-04,['2018-04']
the sons of confederate soldiers,1,13640,2018-04,['2018-04']
local business owners,1,13641,2018-04,['2018-04']
yemeni bodega owners,1,13642,2018-04,['2018-04']
general ralliers,1,13643,2018-04,['2018-04']
ywca greenwich,1,13644,2018-04,['2018-04']
southernors on new ground,1,13645,2018-05,['2018-05']
green card reform,1,13646,2018-04,['2018-04']
anti-defamation league nevada,1,13647,2018-04,['2018-04']
oakland sin fronteras,1,13648,2018-05,['2018-05']
new lynn coaltion,1,13649,2018-05,['2018-05']
unh black student union. general protestors,1,13650,2018-05,['2018-05']
familia unidas por justica,1,13651,2018-05,['2018-05']
intercommunity justice and peace center,1,13652,2018-05,['2018-05']
indivisible spokane,1,13653,2018-05,['2018-05']
immigrant and refugee rights coalition,1,13654,2018-05,['2018-05']
gettysburg rising,1,13655,2018-05,['2018-05']
indivisible aurora,1,13656,2018-05,['2018-05']
berskhire county naacp,1,13657,2018-05,['2018-05']
march for racial justice ri,1,13658,2018-05,['2018-05']
new confederate states of america,1,13659,2018-05,['2018-05']
syracuse immigrant and refugee defense league,1,13660,2018-05,['2018-05']
progress pikeville,1,13661,2018-04,['2018-04']
nyu students,1,13662,2017-11,['2017-11']
salem-keizer students,1,13663,2017-11,['2017-11']
pa resist,1,13664,2017-11,['2017-11']
saint michael's college basketball players,1,13665,2017-11,['2017-11']
resist marxism,1,13666,2017-11,['2017-11']
boston free speech,1,13667,2017-11,['2017-11']
committee for better montgomery county,1,13668,2017-11,['2017-11']
malcolm jenkins,1,13669,2017-11,['2017-11']
chris long,1,13670,2017-11,['2017-11']
rodney mcleod,1,13671,2017-11,['2017-11']
rashad mcadory,1,13672,2017-11,['2017-11']
maryland marching band members,1,13673,2017-11,['2017-11']
philadelphia eagles players (malcolm jenkins),1,13674,2017-11,['2017-11']
defense lawyers,1,13675,2017-11,['2017-11']
antifa (anti-fascist),1,13676,2017-12,['2017-12']
seiu florida,1,13677,2018-02,['2018-02']
center for american progress action fund,1,13678,2017-12,['2017-12']
pro-immigrant protestors,1,13679,2017-12,['2017-12']
pda broward,1,13680,2017-12,['2017-12']
lupe action committee,1,13681,2017-12,['2017-12']
vulcan society firefighters,1,13682,2017-12,['2017-12']
frontline america,1,13683,2017-12,['2017-12']
unite america first,1,13684,2017-12,['2017-12']
5th graders,1,13685,2017-12,['2017-12']
northwest stands against patriot prayer,1,13686,2017-12,['2017-12']
unidad immigrante,1,13687,2017-12,['2017-12']
one human family,1,13688,2017-12,['2017-12']
fight sanctuary state,1,13689,2017-12,['2017-12']
49ers and titans' players,1,13690,2017-12,['2017-12']
broward for progress,1,13691,2017-12,['2017-12']
march and rally los angeles,1,13692,2017-12,['2017-12']
tyus boswer,1,13693,2017-12,['2017-12']
de-escalate washington,1,13694,2017-09,['2017-09']
blm,1,13695,2017-10,['2017-10']
tikkun olam chvurah,1,13696,2017-10,['2017-10']
students for a democractic society,1,13697,2017-10,['2017-10']
northern prairie socialists,1,13698,2017-10,['2017-10']
indivisble chatham new york,1,13699,2017-10,['2017-10']
rovert quinn,1,13700,2017-10,['2017-10']
johnny hekker,1,13701,2017-10,['2017-10']
empowerment temple ame church,1,13702,2017-10,['2017-10']
ukeme eligwe,1,13703,2017-10,['2017-10']
champlain valley friends of refugees and immigrants,1,13704,2017-10,['2017-10']
chinatown art brigade,1,13705,2017-10,['2017-10']
arab-american family support center,1,13706,2017-10,['2017-10']
harvard islamic society,1,13707,2017-10,['2017-10']
greater washington muslim-jewish forum,1,13708,2017-10,['2017-10']
the new york immigrant coalition,1,13709,2017-11,['2017-11']
syrian community network,1,13710,2017-10,['2017-10']
tennessee immigrant and refeugee rights coalition,1,13711,2017-10,['2017-10']
students for social justice of midland,1,13712,2017-10,['2017-10']
pastor cirven merril,1,13713,2017-10,['2017-10']
cheerleaders,1,13714,2017-10,['2017-10']
corpus christi immigration coalition,1,13715,2017-10,['2017-10']
local 11 members,1,13716,2017-10,['2017-10']
members of seiu united service workers west union,1,13717,2017-10,['2017-10']
yemeni-american protestors,1,13718,2017-10,['2017-10']
football player,1,13719,2017-10,['2017-10']
la county for trump,1,13720,2017-10,['2017-10']
national front coalition,1,13721,2017-10,['2017-10']
seahawk and texan players,1,13722,2017-10,['2017-10']
take a knee saratoga,1,13723,2017-11,['2017-11']
philadelphia eagles players,1,13724,2017-11,['2017-11']
together we rise ct,1,13725,2017-10,['2017-10']
unidad accion latino,1,13726,2018-01,['2018-01']
indivisible connecticut,1,13727,2018-01,['2018-01']
brazos interfaith immigration network,1,13728,2018-01,['2018-01']
coalition against hate,1,13729,2018-01,['2018-01']
exodus refugee immigration,1,13730,2018-01,['2018-01']
league of south members,1,13731,2018-01,['2018-01']
